Country,Time,Monetary Aggregates - M1 (JPY),Monetary Aggregates - M2 (JPY),Monetary Aggregates - M3 (JPY)
JP,1955-01,,3581223800349.6,
JP,1955-02,,3555441696605.7,
JP,1955-03,,3591476914965.9,
JP,1955-04,,3664343710103.1,
JP,1955-05,,3668425046989.2,
JP,1955-06,,3716604731205.6,
JP,1955-07,,3778720687716.0,
JP,1955-08,,3796340117687.7,
JP,1955-09,,3844917981112.5,
JP,1955-10,,3900862159892.7,
JP,1955-11,,3965964460466.1,
JP,1955-12,,4297349106657.0,
JP,1956-01,,4156791846091.8,
JP,1956-02,,4160972727780.0,
JP,1956-03,,4260816164286.3,
JP,1956-04,,4321339403963.1,
JP,1956-05,,4365238661689.2,
JP,1956-06,,4484991058615.5,
JP,1956-07,,4508085452702.7,
JP,1956-08,,4560545563409.4,
JP,1956-09,,4734948056688.6,
JP,1956-10,,4731762623021.4,
JP,1956-11,,4842058263748.2,
JP,1956-12,,5232472977584.4,
JP,1957-01,,5118991903190.4,
JP,1957-02,,5085445304882.7,
JP,1957-03,,5260544611776.6,
JP,1957-04,,5304145235096.4,
JP,1957-05,,5336995019789.4,
JP,1957-06,,5426485796877.3,
JP,1957-07,,5398613252289.3,
JP,1957-08,,5419219026324.0,
JP,1957-09,,5482429975657.5,
JP,1957-10,,5551514068314.9,
JP,1957-11,,5637918956537.7,
JP,1957-12,,6004044738661.5,
JP,1958-01,,5850944833031.7,
JP,1958-02,,5814909614671.5,
JP,1958-03,,5943919678193.1,
JP,1958-04,,6058396200608.1,
JP,1958-05,,6070042942453.8,
JP,1958-06,,6169687289355.9,
JP,1958-07,,6251015392671.6,
JP,1958-08,,6352650635615.7,
JP,1958-09,,6457869491435.4,
JP,1958-10,,6544174834856.1,
JP,1958-11,,6760187055413.1,
JP,1958-12,,7135072780121.7,
JP,1959-01,,6902337032811.9,
JP,1959-02,,6964054810113.9,
JP,1959-03,,7184745636369.6,
JP,1959-04,,7273041875832.3,
JP,1959-05,,7410811881938.7,
JP,1959-06,,7452620698820.7,
JP,1959-07,,7523297508311.7,
JP,1959-08,,7473823741668.0,
JP,1959-09,,7763100936570.6,
JP,1959-10,,7877278824579.3,
JP,1959-11,,8023111959655.8,
JP,1959-12,,8563640235058.8,
JP,1960-01,4079303625350.38,8449661436654.3,
JP,1960-02,4021869747177.6,8365546078879.8,
JP,1960-03,4110392833317.82,8621276675474.7,
JP,1960-04,4169824411600.96,8737345914723.3,
JP,1960-05,4219891770616.8003,8799163236827.4,
JP,1960-06,4270957979687.82,8952760866467.7,
JP,1960-07,4421534625506.03,9105860772097.5,
JP,1960-08,4387698579886.8506,9113326632255.0,
JP,1960-09,4470603134466.69,9377518537028.4,
JP,1960-10,4577604946627.721,9488013267359.4,
JP,1960-11,4690475002862.93,9712188161688.6,
JP,1960-12,4786239751903.2,10372966558028.4,
JP,1961-01,4912843996397.12,10148891208501.3,
JP,1961-02,5065168629811.89,10243757404902.6,
JP,1961-03,5139707815179.61,10596146004336.6,
JP,1961-04,5371690740494.9,10864021066787.7,
JP,1961-05,5333110157113.62,10833659902147.2,
JP,1961-06,5469578045902.431,11073264240801.9,
JP,1961-07,5532380743121.801,11114973512881.8,
JP,1961-08,5601301396929.141,11162356838681.4,
JP,1961-09,5650369905889.8,11442177277384.5,
JP,1961-10,5676215151067.551,11472936621233.4,
JP,1961-11,5743138104764.53,11698306053187.8,
JP,1961-12,5830537484592.681,12466294201389.3,
JP,1962-01,5883851106287.85,12120575103696.0,
JP,1962-02,5926676802403.64,12102657039318.0,
JP,1962-03,5942533547029.61,12409553664192.3,
JP,1962-04,6080125142130.49,12601675132245.3,
JP,1962-05,6135935888963.61,12714758027430.9,
JP,1962-06,6196241461045.03,12928878896748.0,
JP,1962-07,6291756497571.51,13022849189930.4,
JP,1962-08,6412117929220.56,13141108414825.2,
JP,1962-09,6587416113904.44,13638135611710.5,
JP,1962-10,6619129603156.37,13675365367695.9,
JP,1962-11,6773451936681.5,14028251691140.4,
JP,1962-12,6896560205982.3,14990451748239.0,
JP,1963-01,6553330355771.47,14671112023102.2,
JP,1963-02,6757595192055.539,14775833154911.4,
JP,1963-03,6939261045841.19,15461995475786.7,
JP,1963-04,7087590279035.25,15509577891190.5,
JP,1963-05,7265011020086.39,15718422885996.3,
JP,1963-06,7486880588592.99,16241132641823.4,
JP,1963-07,7568536580603.859,16287321429997.8,
JP,1963-08,7702757056768.52,16397716615526.7,
JP,1963-09,7874808978773.07,16998469496200.2,
JP,1963-10,7924501769018.22,17067553588857.6,
JP,1963-11,8198561252907.909,17442439313566.2,
JP,1963-12,8171592301418.079,18582924111225.9,
JP,1964-01,8275472707156.68,18078630143787.3,
JP,1964-02,8338275404376.051,18080421950225.1,
JP,1964-03,8418433121304.15,18648623680611.9,
JP,1964-04,8513323876546.14,18747770303503.5,
JP,1964-05,8622697957588.23,19014351283527.3,
JP,1964-06,8693616311505.92,19149134945570.7,
JP,1964-07,8817723430861.898,19266000543236.1,
JP,1964-08,8913987604929.76,19331202388611.6,
JP,1964-09,8859675133179.41,19874119739265.0,
JP,1964-10,9044961818415.08,19900797746227.8,
JP,1964-11,9260214005306.12,20216852492895.3,
JP,1964-12,9289430369420.1,21424530031972.5,
JP,1965-01,9558495603033.9,21039490737449.7,
JP,1965-02,9619800025170.5,21135949650684.6,
JP,1965-03,9580345447990.94,21579521288842.2,
JP,1965-04,9729298962469.48,21693201452840.4,
JP,1965-05,9846663843953.0,21866907132504.9,
JP,1965-06,9901226028217.139,22296243863962.2,
JP,1965-07,10031825672931.8,22393996859624.4,
JP,1965-08,10224603733581.3,22559639410318.8,
JP,1965-09,10315249376088.8,23269792028500.2,
JP,1965-10,10486427304295.0,23496853722090.3,
JP,1965-11,10438357645389.602,23763335157312.0,
JP,1965-12,10684823896504.898,25278805224482.4,
JP,1966-01,10845513899131.8,24571838039968.2,
JP,1966-02,10917306246847.8,24641718491042.4,
JP,1966-03,11173636142258.1,25570471494635.4,
JP,1966-04,11308356043450.3,25582317326085.3,
JP,1966-05,11413984436785.5,25748158966383.9,
JP,1966-06,11491769884832.5,26234933048652.9,
JP,1966-07,11668066919571.6,26601954733995.6,
JP,1966-08,11706272934182.201,26602651547610.3,
JP,1966-09,12027278370665.3,27376512839135.7,
JP,1966-10,12060240422486.2,27300759244737.6,
JP,1966-11,11919152852192.2,27772601606691.6,
JP,1966-12,12345536969496.7,29388313289576.7,
JP,1967-01,12359146301498.5,28121406593250.0,
JP,1967-02,12519461735354.7,27829541233492.8,
JP,1967-03,12911884950783.1,28490419174634.7,
JP,1967-04,13060214183977.1,28820808372804.6,
JP,1967-05,12887413124431.2,28685228352344.4,
JP,1967-06,13201551466784.9,29298424333280.4,
JP,1967-07,13171835677643.4,29692323115190.1,
JP,1967-08,13524554603378.398,29897086773109.8,
JP,1967-09,13795992105873.2,30523522212725.1,
JP,1967-10,14058439957871.5,30743814859772.4,
JP,1967-11,14186542477448.201,31222227178665.0,
JP,1967-12,14387935619823.6,32611773071178.9,
JP,1968-01,14539760828210.8,32547268039418.1,
JP,1968-02,14789473342005.502,32225638783833.0,
JP,1968-03,14999481566106.799,32840228391998.4,
JP,1968-04,15082261264429.8,33245773915753.8,
JP,1968-05,15286775813227.602,33455415268976.4,
JP,1968-06,15610528087362.498,34098474690542.4,
JP,1968-07,15734635206718.502,34447379221902.9,
JP,1968-08,15840013887539.8,34568823880464.9,
JP,1968-09,15968615832144.1,35070927862257.3,
JP,1968-10,16120815609302.0,35246027169151.2,
JP,1968-11,16450810696281.7,36017698475030.4,
JP,1968-12,16668684864567.598,37701797436958.2,
JP,1969-01,16972834706369.5,37721507307774.0,
JP,1969-02,17126657614867.102,37287790605024.3,
JP,1969-03,17470886315133.1,37985301033339.0,
JP,1969-04,17786647788826.5,38716358059961.4,
JP,1969-05,18040355702841.9,39032213717024.7,
JP,1969-06,18364732258261.2,39818020384802.1,
JP,1969-07,18706214120875.5,40427334118456.2,
JP,1969-08,19116866349810.9,40814762488229.4,
JP,1969-09,19391050689957.5,41437415225364.9,
JP,1969-10,19661739054911.0,41775768007702.8,
JP,1969-11,20147305037984.8,42692874269450.1,
JP,1969-12,20506891057849.2,44744194006324.8,
JP,1970-01,20866726790227.297,44833087514600.1,
JP,1970-02,21164508962927.5,44390113145255.1,
JP,1970-03,21295233463899.098,45094392620112.6,
JP,1970-04,21698519173677.5,45933754391419.8,
JP,1970-05,22093439514243.8,46471893591572.4,
JP,1970-06,22216797496058.4,47218977331332.9,
JP,1970-07,22582251759997.0,47935500816848.7,
JP,1970-08,22883529907890.297,48252551011537.2,
JP,1970-09,23016626677742.9,48815875046621.1,
JP,1970-10,23541896950510.1,49235755021878.9,
JP,1970-11,23885126800720.9,50119911954131.1,
JP,1970-12,24285041391563.1,52350611424390.0,
JP,1971-01,24765737980617.9,52452545301740.4,
JP,1971-02,25288760840761.0,52130716956551.1,
JP,1971-03,25520369197305.5,53101577411432.4,
JP,1971-04,26066490464974.598,54292630968558.9,
JP,1971-05,26791530748777.5,55206452251836.9,
JP,1971-06,27016896292477.2,56431948310490.0,
JP,1971-07,27943953999940.1,57884804697139.5,
JP,1971-08,28675861377872.4,58703062970401.5,
JP,1971-09,29127466459070.098,59841755961623.4,
JP,1971-10,29528504756224.4,60480236322292.8,
JP,1971-11,29265307766684.8,61567166016422.7,
JP,1971-12,30492145346958.203,65288747987733.3,
JP,1972-01,30797668607586.0,65615254938621.3,
JP,1972-02,31085337423477.6,65305471514486.1,
JP,1972-03,31882919192537.8,66939200806551.3,
JP,1972-04,32586733912668.203,68492796532926.0,
JP,1972-05,32448018611255.3,69302095773999.0,
JP,1972-06,33024604805607.3,71463312972392.1,
JP,1972-07,32995513297750.203,73552559278866.9,
JP,1972-08,33427266234101.2,74188252385077.5,
JP,1972-09,34208117264737.3,75944919507736.2,
JP,1972-10,36510966066952.1,77287579798461.0,
JP,1972-11,37266471277438.0,79092327060534.0,
JP,1972-12,38004871180729.0,82589535047911.2,
JP,1973-01,38652875154026.2,82747910828052.3,
JP,1973-02,39720146437984.8,82790814637757.4,
JP,1973-03,41094189545140.2,84925254284385.6,
JP,1973-04,42992129506236.91,87188604449733.3,
JP,1973-05,42516926592485.6,87636456514381.2,
JP,1973-06,43142081870770.6,89529898195125.3,
JP,1973-07,43715047233672.59,90311125802006.1,
JP,1973-08,43910696988230.695,90416046023419.5,
JP,1973-09,45159259557204.3,91559517165142.2,
JP,1973-10,45285614089184.4,91497898932642.3,
JP,1973-11,45230302767378.9,92784814134191.1,
JP,1973-12,45359404137010.805,95775538168483.5,
JP,1974-01,46034002493027.2,95538123815475.0,
JP,1974-02,46632063963565.5,94903724791691.7,
JP,1974-03,46712221680493.6,95762298709804.2,
JP,1974-04,47100899208215.1,97056182047500.0,
JP,1974-05,48039069122541.8,97848857306622.3,
JP,1974-06,49408991973219.6,99617867984741.4,
JP,1974-07,49424599005331.695,100333893746247.0,
JP,1974-08,49577298207517.2,100573995808912.0,
JP,1974-09,49765581442918.4,101233579667627.0,
JP,1974-10,50188719297543.5,101296790616960.0,
JP,1974-11,51199555553384.5,103145835315968.0,
JP,1974-12,51691489205560.1,107010562712698.0,
JP,1975-01,52336371772434.9,106898674355138.0,
JP,1975-02,52886863009095.4,106219081991201.0,
JP,1975-03,52895353234564.4,107501617221457.0,
JP,1975-04,53888459901926.0,109495599152322.0,
JP,1975-05,54177127567872.6,110134875871409.0,
JP,1975-06,54380643266615.3,111996164581074.0,
JP,1975-07,54904290408042.8,113486549358116.0,
JP,1975-08,55805128301557.305,114187942033712.0,
JP,1975-09,55865059304868.0,115182792785900.0,
JP,1975-10,56281080352850.0,115738053692013.0,
JP,1975-11,55814991945852.2,117472621868606.0,
JP,1975-12,57493684319837.1,122507597958824.0,
JP,1976-01,58550592534473.2,122900999016723.0,
JP,1976-02,59548069170826.195,122460314177826.0,
JP,1976-03,60016280134191.2,124347982260049.0,
JP,1976-04,60603603966636.4,126118187475793.0,
JP,1976-05,61405930273458.805,127210791223643.0,
JP,1976-06,62446732030955.09,130159706441053.0,
JP,1976-07,62439989793082.695,131110757480316.0,
JP,1976-08,63035429282226.2,131508040785497.0,
JP,1976-09,63442086110940.9,132511452390665.0,
JP,1976-10,64394364782296.99,132936807330039.0,
JP,1976-11,64488131831226.91,134276381731898.0,
JP,1976-12,64964957876317.9,139434494742314.0,
JP,1977-01,65248007010704.195,138965240545215.0,
JP,1977-02,65367744161068.8,137681510777333.0,
JP,1977-03,65470376004238.41,139516221024838.0,
JP,1977-04,65130142704193.09,140606336152635.0,
JP,1977-05,63720640420078.91,141428576217981.0,
JP,1977-06,65547537171001.0,144442494191163.0,
JP,1977-07,66334006733197.41,145785652205898.0,
JP,1977-08,66781241845403.7,145886192456019.0,
JP,1977-09,67443104863216.6,147469950257430.0,
JP,1977-10,67950395834990.6,147058133411143.0,
JP,1977-11,68584291051258.41,148777570777816.0,
JP,1977-12,69502608820738.5,154309673609721.0,
JP,1978-01,69896530311249.6,153640632994807.0,
JP,1978-02,70186571396022.195,152408566979216.0,
JP,1978-03,70590231674571.3,154964977041946.0,
JP,1978-04,70059717439014.5,157404322417406.0,
JP,1978-05,70902122604300.89,157685038759328.0,
JP,1978-06,72882717407463.6,161785985971442.0,
JP,1978-07,73895176794644.31,163349337088422.0,
JP,1978-08,74570898856972.8,163900118478442.0,
JP,1978-09,75290320609215.4,165191413651283.0,
JP,1978-10,75799734137356.6,164880634779127.0,
JP,1978-11,76516159339433.61,167046928762427.0,
JP,1978-12,76901465748218.8,173126328916278.0,
JP,1979-01,77861610363759.5,172493522609328.0,
JP,1979-02,78150028317192.39,171164002232481.0,
JP,1979-03,78291490456257.1,173936125881362.0,
JP,1979-04,80786742750350.7,176664051638110.0,
JP,1979-05,82008211511577.5,177911348008423.0,
JP,1979-06,80918341245120.5,180926062340021.0,
JP,1979-07,81511408465383.0,182727026899615.0,
JP,1979-08,82445707835745.9,183341218328572.0,
JP,1979-09,81900210849361.3,184043208272981.0,
JP,1979-10,82201488997254.61,183756519242933.0,
JP,1979-11,82574809205377.7,185563157856246.0,
JP,1979-12,82793931936232.6,192253364915783.0,
JP,1980-01,83224186597500.9,190717289074577.0,295200000000000.0
JP,1980-02,83829864299709.89,189611346323246.0,297000000000000.0
JP,1980-03,84474497154071.0,192378393187220.0,298600000000000.0
JP,1980-04,86327613718941.5,195013543188411.0,300700000000000.0
JP,1980-05,85236120321144.89,196298069314710.0,303100000000000.0
JP,1980-06,83303844889401.4,198285381743834.0,304200000000000.0
JP,1980-07,81944285108046.11,198783205299136.0,305500000000000.0
JP,1980-08,81544495373460.8,198467051007667.0,307100000000000.0
JP,1980-09,81749009922258.61,198855673915065.0,308600000000000.0
JP,1980-10,81605674939340.5,197777802797926.0,310300000000000.0
JP,1980-11,81983614828968.81,200135919614873.0,312800000000000.0
JP,1980-12,81296655703519.5,207327235208181.0,314900000000000.0
JP,1981-01,81972003197077.3,204892667983222.0,317000000000000.0
JP,1981-02,83062872313589.5,203962322262795.0,319400000000000.0
JP,1981-03,83070488545260.19,207137900994587.0,321800000000000.0
JP,1981-04,82741117739565.0,210364148030648.0,325100000000000.0
JP,1981-05,84882277689097.8,210942304241245.0,327100000000000.0
JP,1981-06,86061420179236.4,214814099318924.0,330600000000000.0
JP,1981-07,86537996511813.61,216668021713235.0,333200000000000.0
JP,1981-08,87172890578136.61,217585924333399.0,336100000000000.0
JP,1981-09,87522737809963.0,218978157935570.0,339100000000000.0
JP,1981-10,88405970971254.9,219064164644584.0,342500000000000.0
JP,1981-11,88900276892311.5,221047296192020.0,344900000000000.0
JP,1981-12,89248251280284.4,229089819388085.0,347400000000000.0
JP,1982-01,87826388226737.39,226834532351708.0,350300000000000.0
JP,1982-02,88332305779685.39,225573299709101.0,352700000000000.0
JP,1982-03,88792650798866.0,228852604124681.0,354800000000000.0
JP,1982-04,89589233717871.1,229971089521077.0,356400000000000.0
JP,1982-05,90409913894457.4,230760479801730.0,358700000000000.0
JP,1982-06,90438755689800.7,233732688502832.0,360800000000000.0
JP,1982-07,91346585533701.39,236710969436861.0,364200000000000.0
JP,1982-08,91683447714810.5,237187490404514.0,366700000000000.0
JP,1982-09,91849506536484.0,238359431359637.0,368600000000000.0
JP,1982-10,92621742485394.1,237296591507616.0,370900000000000.0
JP,1982-11,93057865390736.6,238774135005186.0,373100000000000.0
JP,1982-12,93332923724681.39,247123554826126.0,374800000000000.0
JP,1983-01,93756186435563.39,244274184410815.0,376800000000000.0
JP,1983-02,93685767506673.39,242326590357729.0,378800000000000.0
JP,1983-03,93561410674803.6,246193507740105.0,380800000000000.0
JP,1983-04,93631330178666.11,247407058422506.0,383600000000000.0
JP,1983-05,93728842915302.9,248165888448915.0,386000000000000.0
JP,1983-06,94051970908153.3,251690670346474.0,388600000000000.0
JP,1983-07,94139869713009.0,253444450669871.0,390400000000000.0
JP,1983-08,94146986519652.2,253579433421519.0,392600000000000.0
JP,1983-09,94475358475292.19,255573913076395.0,395200000000000.0
JP,1983-10,94741427158740.5,254359167856368.0,397600000000000.0
JP,1983-11,94065205671384.39,255083654926052.0,399200000000000.0
JP,1983-12,95178673770395.0,265781834352541.0,403000000000000.0
JP,1984-01,94291445208882.4,262790015325426.0,405300000000000.0
JP,1984-02,94906861699129.5,261301024175614.0,408000000000000.0
JP,1984-03,95908084023189.4,266955865748509.0,411500000000000.0
JP,1984-04,95743898045369.4,266362877362399.0,412500000000000.0
JP,1984-05,95663116047156.8,266905695168250.0,415400000000000.0
JP,1984-06,96068149744531.8,270518673760470.0,418200000000000.0
JP,1984-07,96845379943717.8,272929250688123.0,420800000000000.0
JP,1984-08,96699547835661.7,273211858381285.0,423500000000000.0
JP,1984-09,98394596379300.19,276192030666555.0,426700000000000.0
JP,1984-10,98092818806379.3,274007420439668.0,428800000000000.0
JP,1984-11,98666907875593.3,275859750117145.0,431600000000000.0
JP,1984-12,99874392736047.6,286408910974891.0,433900000000000.0
JP,1985-01,100320379285685.0,283552970602642.0,437300000000000.0
JP,1985-02,100370946069728.0,282021573367135.0,440300000000000.0
JP,1985-03,101840129644640.0,288098584445736.0,443600000000000.0
JP,1985-04,99978522854300.0,288849251798372.0,447300000000000.0
JP,1985-05,100146204807313.0,289160627939341.0,450200000000000.0
JP,1985-06,100978371759534.0,292707807417372.0,452900000000000.0
JP,1985-07,101395141945057.0,295441307683038.0,455900000000000.0
JP,1985-08,101518250214358.0,295802655314661.0,458800000000000.0
JP,1985-09,102777425565168.0,298978234046453.0,462100000000000.0
JP,1985-10,102809638479448.0,297678875744642.0,466000000000000.0
JP,1985-11,102961338831578.0,300867295755905.0,470000000000000.0
JP,1985-12,104793854114060.0,312909628645151.0,474000000000000.0
JP,1986-01,104758270080845.0,309195014809987.0,476400000000000.0
JP,1986-02,104268334128779.0,307448302167538.0,479500000000000.0
JP,1986-03,105560846100180.98,313896913992378.0,482800000000000.0
JP,1986-04,106121700406164.0,313248479151499.0,485300000000000.0
JP,1986-05,106607016676724.0,313536462263974.0,488200000000000.0
JP,1986-06,108346389191561.0,317632631325587.0,492200000000000.0
JP,1986-07,108869911476731.0,321232071824721.0,495800000000000.0
JP,1986-08,110085636850140.98,322094328900511.0,499100000000000.0
JP,1986-09,110798316364511.02,325496571146685.0,502900000000000.0
JP,1986-10,111761332673960.0,323097441871273.0,505700000000000.0
JP,1986-11,113274715363813.0,325974983465578.0,508700000000000.0
JP,1986-12,113932083556378.0,338415396018421.0,513900000000000.0
JP,1987-01,114950411187633.02,335911147431991.0,517800000000000.0
JP,1987-02,115470687210124.02,334485765410721.0,521600000000000.0
JP,1987-03,115856992468964.0,342088798305515.0,527100000000000.0
JP,1987-04,117571518588679.0,343958448778557.0,532800000000000.0
JP,1987-05,119541126041234.0,345512641773745.0,537900000000000.0
JP,1987-06,120080879639801.98,349484877556743.0,542600000000000.0
JP,1987-07,120976473570526.0,354470678514724.0,547600000000000.0
JP,1987-08,123271830997327.0,357444479932659.0,553100000000000.0
JP,1987-09,123476095833612.0,361519147317018.0,558700000000000.0
JP,1987-10,123703084508651.0,360799139763429.0,563400000000000.0
JP,1987-11,124492051195985.02,366249814947217.0,570000000000000.0
JP,1987-12,122075957768765.0,377173363805660.0,573500000000000.0
JP,1988-01,124643252123088.0,376012770957976.0,578800000000000.0
JP,1988-02,126339549229295.0,376118387993004.0,584900000000000.0
JP,1988-03,126431193721858.0,382374181536177.0,589200000000000.0
JP,1988-04,128179930455962.02,382971350803975.0,593700000000000.0
JP,1988-05,131083837278881.0,385038697253987.0,599900000000000.0
JP,1988-06,130220830831207.02,388437057252879.0,604400000000000.0
JP,1988-07,130025680501676.0,393961992859034.0,609100000000000.0
JP,1988-08,131007550105917.02,396516611115326.0,614400000000000.0
JP,1988-09,131152133651403.98,399925124684032.0,618900000000000.0
JP,1988-10,132761031377783.0,400569876367234.0,624400000000000.0
JP,1988-11,135851223735993.0,404118150838088.0,628900000000000.0
JP,1988-12,134810047409726.0,416454240438331.0,633800000000000.0
JP,1989-01,135262651340978.98,413692469448868.0,635500000000000.0
JP,1989-02,138365579037392.0,415415390883615.0,645100000000000.0
JP,1989-03,138480072224967.0,421914571467922.0,650200000000000.0
JP,1989-04,138085526453171.0,422168808892485.0,653800000000000.0
JP,1989-05,137753658522338.0,421195360272749.0,657100000000000.0
JP,1989-06,134857367931090.0,424912263638361.0,662700000000000.0
JP,1989-07,133512790900562.0,432620614933777.0,668500000000000.0
JP,1989-08,134798810346605.0,434704884000147.0,673900000000000.0
JP,1989-09,135342933914164.02,438258633435117.0,678500000000000.0
JP,1989-10,134738879343294.0,438835694652890.0,683600000000000.0
JP,1989-11,133220377546909.02,444026557903197.0,690300000000000.0
JP,1989-12,132122391623753.0,460672439710359.0,701600000000000.0
JP,1990-01,135502000785451.02,461391551360729.0,708700000000000.0
JP,1990-02,139284770800670.0,464609934357425.0,722300000000000.0
JP,1990-03,139501770975157.98,470929536118743.0,727000000000000.0
JP,1990-04,141226410451681.0,477920667115028.0,739800000000000.0
JP,1990-05,137046597539528.0,476829058815200.0,743500000000000.0
JP,1990-06,137818334063410.98,478321633577887.0,745600000000000.0
JP,1990-07,139820528999017.0,485413802548304.0,749800000000000.0
JP,1990-08,138307271165421.0,486437521293100.0,753800000000000.0
JP,1990-09,139958994587916.0,490806841291675.0,758600000000000.0
JP,1990-10,140150149517226.02,490598892200088.0,762200000000000.0
JP,1990-11,139197496277099.02,487851555206930.0,758200000000000.0
JP,1990-12,140109321521220.0,499922556999181.0,760800000000000.0
JP,1991-01,141840453523102.0,495625008802919.0,762400000000000.0
JP,1991-02,140778426201933.0,490375414119374.0,764200000000000.0
JP,1991-03,141338156801604.0,494774099834569.0,765600000000000.0
JP,1991-04,141859431674150.0,496283895848019.0,768000000000000.0
