Country,Time,Real GDP (billions chained 2015 JPY)
JP,1994-01,465063.8
JP,1994-02,465063.8
JP,1994-03,465063.8
JP,1994-04,461491.7
JP,1994-05,461491.7
JP,1994-06,461491.7
JP,1994-07,466136.1
JP,1994-08,466136.1
JP,1994-09,466136.1
JP,1994-10,464397.0
JP,1994-11,464397.0
JP,1994-12,464397.0
JP,1995-01,468894.7
JP,1995-02,468894.7
JP,1995-03,468894.7
JP,1995-04,473148.9
JP,1995-05,473148.9
JP,1995-06,473148.9
JP,1995-07,478593.2
JP,1995-08,478593.2
JP,1995-09,478593.2
JP,1995-10,479790.6
JP,1995-11,479790.6
JP,1995-12,479790.6
JP,1996-01,484271.4
JP,1996-02,484271.4
JP,1996-03,484271.4
JP,1996-04,489493.2
JP,1996-05,489493.2
JP,1996-06,489493.2
JP,1996-07,490386.3
JP,1996-08,490386.3
JP,1996-09,490386.3
JP,1996-10,495642.7
JP,1996-11,495642.7
JP,1996-12,495642.7
JP,1997-01,498906.6
JP,1997-02,498906.6
JP,1997-03,498906.6
JP,1997-04,495396.6
JP,1997-05,495396.6
JP,1997-06,495396.6
JP,1997-07,496173.4
JP,1997-08,496173.4
JP,1997-09,496173.4
JP,1997-10,496112.5
JP,1997-11,496112.5
JP,1997-12,496112.5
JP,1998-01,488262.7
JP,1998-02,488262.7
JP,1998-03,488262.7
JP,1998-04,485562.0
JP,1998-05,485562.0
JP,1998-06,485562.0
JP,1998-07,486201.9
JP,1998-08,486201.9
JP,1998-09,486201.9
JP,1998-10,490396.6
JP,1998-11,490396.6
JP,1998-12,490396.6
JP,1999-01,483234.3
JP,1999-02,483234.3
JP,1999-03,483234.3
JP,1999-04,485675.7
JP,1999-05,485675.7
JP,1999-06,485675.7
JP,1999-07,488375.6
JP,1999-08,488375.6
JP,1999-09,488375.6
JP,1999-10,488083.0
JP,1999-11,488083.0
JP,1999-12,488083.0
JP,2000-01,497256.7
JP,2000-02,497256.7
JP,2000-03,497256.7
JP,2000-04,500294.0
JP,2000-05,500294.0
JP,2000-06,500294.0
JP,2000-07,500070.2
JP,2000-08,500070.2
JP,2000-09,500070.2
JP,2000-10,505252.4
JP,2000-11,505252.4
JP,2000-12,505252.4
JP,2001-01,508205.8
JP,2001-02,508205.8
JP,2001-03,508205.8
JP,2001-04,504350.4
JP,2001-05,504350.4
JP,2001-06,504350.4
JP,2001-07,498414.0
JP,2001-08,498414.0
JP,2001-09,498414.0
JP,2001-10,497325.6
JP,2001-11,497325.6
JP,2001-12,497325.6
JP,2002-01,498585.7
JP,2002-02,498585.7
JP,2002-03,498585.7
JP,2002-04,502164.3
JP,2002-05,502164.3
JP,2002-06,502164.3
JP,2002-07,503710.2
JP,2002-08,503710.2
JP,2002-09,503710.2
JP,2002-10,504886.5
JP,2002-11,504886.5
JP,2002-12,504886.5
JP,2003-01,504305.4
JP,2003-02,504305.4
JP,2003-03,504305.4
JP,2003-04,508466.6
JP,2003-05,508466.6
JP,2003-06,508466.6
JP,2003-07,509942.6
JP,2003-08,509942.6
JP,2003-09,509942.6
JP,2003-10,515099.4
JP,2003-11,515099.4
JP,2003-12,515099.4
JP,2004-01,519509.6
JP,2004-02,519509.6
JP,2004-03,519509.6
JP,2004-04,519127.0
JP,2004-05,519127.0
JP,2004-06,519127.0
JP,2004-07,522004.7
JP,2004-08,522004.7
JP,2004-09,522004.7
JP,2004-10,520014.3
JP,2004-11,520014.3
JP,2004-12,520014.3
JP,2005-01,523233.6
JP,2005-02,523233.6
JP,2005-03,523233.6
JP,2005-04,528262.4
JP,2005-05,528262.4
JP,2005-06,528262.4
JP,2005-07,533023.4
JP,2005-08,533023.4
JP,2005-09,533023.4
JP,2005-10,534521.8
JP,2005-11,534521.8
JP,2005-12,534521.8
JP,2006-01,534938.6
JP,2006-02,534938.6
JP,2006-03,534938.6
JP,2006-04,536419.2
JP,2006-05,536419.2
JP,2006-06,536419.2
JP,2006-07,536343.8
JP,2006-08,536343.8
JP,2006-09,536343.8
JP,2006-10,543553.3
JP,2006-11,543553.3
JP,2006-12,543553.3
JP,2007-01,547463.0
JP,2007-02,547463.0
JP,2007-03,547463.0
JP,2007-04,548309.8
JP,2007-05,548309.8
JP,2007-06,548309.8
JP,2007-07,544708.5
JP,2007-08,544708.5
JP,2007-09,544708.5
JP,2007-10,547801.9
JP,2007-11,547801.9
JP,2007-12,547801.9
JP,2008-01,548954.6
JP,2008-02,548954.6
JP,2008-03,548954.6
JP,2008-04,546314.5
JP,2008-05,546314.5
JP,2008-06,546314.5
JP,2008-07,540237.4
JP,2008-08,540237.4
JP,2008-09,540237.4
JP,2008-10,527415.3
JP,2008-11,527415.3
JP,2008-12,527415.3
JP,2009-01,504030.2
JP,2009-02,504030.2
JP,2009-03,504030.2
JP,2009-04,509666.3
JP,2009-05,509666.3
JP,2009-06,509666.3
JP,2009-07,506351.8
JP,2009-08,506351.8
JP,2009-09,506351.8
JP,2009-10,514481.6
JP,2009-11,514481.6
JP,2009-12,514481.6
JP,2010-01,520871.6
JP,2010-02,520871.6
JP,2010-03,520871.6
JP,2010-04,528044.5
JP,2010-05,528044.5
JP,2010-06,528044.5
JP,2010-07,537146.6
JP,2010-08,537146.6
JP,2010-09,537146.6
JP,2010-10,532533.6
JP,2010-11,532533.6
JP,2010-12,532533.6
JP,2011-01,524901.3
JP,2011-02,524901.3
JP,2011-03,524901.3
